tipo,viviendas,precio,direccion,terreno
Town House En Renta,TOWNHOUSE EN ALQUILER EN LECHERIA CR LAS MARINAS,$1.500,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",273
Apartamento En Venta,"Apartamento En Venta Conjunto Residencial ALTO ATLANTIS, Lecheria",$43.000,"Calle sur, Diego Bautista Urbaneja, Lechería, Anzoategui",77
Apartamento En Renta,APTO EN ALQUILER EN EL CONJUNTO RESIDENCIAL MARINA MAR,$600,"AVENIDA BARLOVENTO, Diego Bautista Urbaneja, Lechería, Anzoategui",90
Apartamento En Venta,"*Con Alto Potencial En Una De Las Zonas Mas Prestigiosas ,",$95.000,"Av, Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",180
Apartamento En Venta,A Estrenar A Pocos Metros De La Ciudad De Lecheria,$49.000,"AV. COSTANERA, NUEVA BARCELONA, Diego Bautista Urbaneja, Lechería, Anzoategui",72
Apartamento En Renta,Hermoso Y Amplio Apartamento Con Hermosa Vista A La Ciudad,$650,"Calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",98
Apartamento En Venta,Cómodo Y Lindo Apartamento En Venta En Guaica Real,$55.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",86
Casa En Venta,VILLA VACACIONAL,$550,"LAS VILLAS DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",1.964
Apartamento En Venta,CONJUNTO RESIDENCIAL MARINA MAR,$210.000,"Avenida La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",229
Town House En Venta,TOWNHOUSE EN VENTA N LECHERIA CR LAS MARINAS,$255.000,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",273
Local En Renta,LOCAL COMERCIAL LECHERIA,$750,"LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",170
Town House En Venta,Town House Conjunto Residencial La Caleta,$85,"AV: Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",72
Apartamento En Venta,Conveniente Apartamento En El Conjunto Residencial Madre Vieja,$26.000,"Av. Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",0
Casa En Venta,CASA EN VENTA EN EL CR CASAS BOTES C,$350.000,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",215
Casa En Renta,CASA EN ALQUILER EN LECHERIA CR CASAS BOTES C,$2.000,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",215
Oficinas En Venta,Oficina En Venta En El Centro Empresarial Colon,$120.000,"calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",57
Local En Renta,"Local Comercial De 97m2 En Alquiler, Moderno Y Con Acabados De Primera",$950,"Avenida Bolivar, cruce con calle los almendrones, Diego Bautista Urbaneja, Lechería, Anzoategui",97
Apartamento En Renta,Apartamento Moderno En Alquiler En Conjunto Residencial Punta Canal,$1.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",82
Apartamento En Renta,Hermoso Apartamento En La Avenida Bolivar De Lechería Residencias Karol,$450,"AV BOLIVAR, Diego Bautista Urbaneja, Lechería, Anzoategui",75
Apartamento En Venta,Exclusivo Apartamento En Residencias Lido Suites,$100.000,"8 la cuidad de Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",70
Apartamento En Venta,Apartamento En Venta 3 Habitaciones Lechería,$19.000,"Sector Venecia, Diego Bautista Urbaneja, Lechería, Anzoategui",86
Local En Renta,Te Ofrece En Alquiler Local Comercial En Lecheria,$250,"carrera 7 con carrera 5, Diego Bautista Urbaneja, Lechería, Anzoategui",28
Apartamento En Renta,RESIDENCIAS PUEBLO VIEJO,$400,"AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",56
Apartamento En Venta,VENTA APARTAMENTO EN CONJ RESD LAS MARINAS LECHERIA,$100.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",84
Town House En Renta,Bello Townhouse En Alquiler En Aguamarina,$700,"Diego Bautista Urbaneja, Lechería, Anzoategui",103
Casa En Renta,Villa Para Alquiler En Cayo De Agua,$1.500,"Calle Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",132
Casa En Renta,En Alquiler Hermosa Y Comoda Casas Bote B,$800,"Av Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",202
Apartamento En Venta,APARTAMENTO EN VENTA LECHERIA EDIFICIO TOSCANA,$55.000,"CASCO CENTRAL, Diego Bautista Urbaneja, Lechería, Anzoategui",63
Apartamento En Renta,"Apartamento En Residencial Punta Marina, Lechería",$1.300,"el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",117
Casa En Venta,Amplia Casa Ubicada Detrás Del Centro Comercial Mar Pacifico En Lecheria,$125.000,"Calle Los Apamates, Diego Bautista Urbaneja, Lechería, Anzoategui",235
Local En Renta,AMPLIO LOCAL COMERCIAL PLANTA BAJA EN ALQUILER MAR PACIFICO LECHERIA,$1.200,"AV PRINCIPAL LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",85
Apartamento En Renta,HERMOSO Y COMODO APARTAMENTO AMOBLADO Y EQUIPADO EN ALQUILER LECHERIA,$800,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",72
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA C.R CHIMANA,$220.000,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",238
Apartamento En Renta,Se Ofrece En Alquiler Un Cómodo Apartamento En Residencias Pocholo,$400,"Diego Bautista Urbaneja, Lechería, Anzoategui",82
Apartamento En Venta,Apartamento Para Remodelar Residencia Maya,$35.000,"principal de lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",113
Local En Renta,Consultorio Medico En Alquiler,$400,"Calle Mariño, Diego Bautista Urbaneja, Lechería, Anzoategui",18
Apartamento En Renta,"Hermoso Apartamento En La Mejor Zona De Lechería, Amoblado Y Equipado",$1.500,"Complejo Turístico el Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",90
Apartamento En Venta,BELLO APARTAMENTO EN AVENTURA PLAZA,$55.000,"Avenida principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",75
Oficinas En Renta,Oficinas Centro Empresarial Colon,$650,"Diego Bautista Urbaneja, Lechería, Anzoategui",57
Galpon En Renta,Se Alquila Galpón En Lechería,$3.000,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",800
Apartamento En Venta,"En Venta Hermoso Apartamento En Res. Nicole Suites, Excelente Ubicacion",$85.000,"Calle arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",173
Local En Renta,LOCAL CC ANNA,$500,"avenida principal lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",50
Casa En Venta,CASA EN VENTA C.R CASAS BOTE B,$220.000,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",190
Casa En Renta,CASA EN ALQUILERC.R CASAS BOTE B,$1.300,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",190
Local En Venta,Centro Comercial Palm Beach,$70.000,"arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",27
Apartamento En Venta,Apartamento En Venta Residencias Karla Valentina Lecharía Anzoátegui,$65.000,"Playa mansa Av. BOULEVARD, con Avenida piritu urbanización el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",125
Apartamento En Venta,Moderno Y Acojedor Apartamento En El Conjunto Residencial Albacora,$150.000,"Av. Libertad, Diego Bautista Urbaneja, Lechería, Anzoategui",0
Apartamento En Renta,Amplio Apartamento En Alquiler En El Conjunto Residencial Isla Marina,$2.000,"Av. La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",0
Apartamento En Venta,CONJUNTO RESIDENCIAL PLAYA MAR - CÁLIDA VISTA AL MAR.,$89.000,"Avenida principal aguavilla lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",106
Apartamento En Venta,Hermoso Apartamento En El Conjunto Residencial Pueblo Viejo,$60.000,"AV. AMÉRICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",56
Apartamento En Venta,El Hogar Que Sueñas En La Ciudad De Lecheria,$95.000,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",100
Local En Renta,Local Comercial Con Excelente Ubicación Centro Comercial Aventura Plaza,$250,"Avenida Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",10
Town House En Renta,Remodelada Y A Estrenar TH En Puerto Príncipe En Alquiler,$800,"Diego Bautista Urbaneja, Lechería, Anzoategui",125
Town House En Venta,Remodelada Y A Estrenar TH En Puerto Principe En Venta,$117.000,"Puerto Principe, Diego Bautista Urbaneja, Lechería, Anzoategui",125
Apartamento En Venta,Cómodo Apartamento En Venta Planta Baja,$45.000,"Sector el Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",75
Local En Renta,Local Centro Comercial Armas,$250,"calle 5, Diego Bautista Urbaneja, Lechería, Anzoategui",16
Apartamento En Renta,CONJUNTO RESIDENCIAL MARINA MAR,$180,"SECTOR LA PENINSULA, Diego Bautista Urbaneja, Lechería, Anzoategui",229
Town House En Venta,CONJUNTO RESIDENCIAL VILLA MARTINIQUE,$95.000,"AVENIDA R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",125
Apartamento En Renta,RESIDENCIAS PELICANO,$450,"AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",89
Apartamento En Venta,SE Vende Apartamento En Playa Lido. Residencia La Esmeralda,$37.000,"PLAYA LIDO, Diego Bautista Urbaneja, Lechería, Anzoategui",43
Town House En Venta,Town House En Venta En El Conjunto Residencial Cayo De Agua,$130.000,"AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",140
Apartamento En Venta,Amplio Y Cómodo Apartamento Con Ubicación Estratégica,$43.000,"Calle El Dorado, Diego Bautista Urbaneja, Lechería, Anzoategui",87
Apartamento En Renta,RESIDENCIAS ISAJOR,$300,"calle nueva esparta cruce con calle la marina, Diego Bautista Urbaneja, Lechería, Anzoategui",55
